id,symbol,direction,entry_time,entry_price,exit_time,exit_price,sl_price,tp_price,size,pnl_pips,exit_reason,entry_signal_data,created_at,entry_model,signal_timeframe
288,EURCAD,long,2026-02-19 08:30:20.226795,1.61438000,2026-02-19 09:05:39.559261,1.61417000,1.61138000,1.61738000,0.2100,-2.10,model_exit,,2026-02-19 09:05:39.79225,Hybrid_V4 + MACD_Stoch_long,
289,EURCAD,long,2026-02-19 10:00:07.04832,1.61337000,2026-02-19 10:35:28.003616,1.61391000,1.61037000,1.61637000,0.2000,5.40,model_exit,,2026-02-19 10:35:28.131903,Hybrid_V4 + MACD_Stoch_long,
290,GBPUSD,long,2026-02-19 08:00:02.953643,1.35102000,2026-02-19 11:05:47.863587,1.34899000,1.34802000,1.35402000,0.4100,-20.30,model_exit,,2026-02-19 11:05:48.19716,Hybrid_V4 + Stoch_RSI_long_20_30,
291,GBPUSD,long,2026-02-19 08:01:04.201368,1.35097000,2026-02-19 11:05:47.863587,1.34899000,1.34797000,1.35397000,0.2800,-19.80,model_exit,,2026-02-19 11:05:48.377228,Hybrid_V4 + Stoch_RSI_long_15_30,
292,GBPUSD,long,2026-02-19 08:02:04.764368,1.35109000,2026-02-19 11:05:47.863587,1.34899000,1.34809000,1.35409000,0.3400,-21.00,model_exit,,2026-02-19 11:05:48.529377,Hybrid_V4 + RSI_oversold_long,
293,EURCAD,short,2026-02-19 10:00:07.05112,1.61337000,2026-02-19 12:05:29.432619,1.61242000,1.61637000,1.61037000,0.1900,9.50,model_exit,,2026-02-19 12:05:29.519597,Hybrid_V4 + SMA20_50_BB_short,
294,EURCAD,long,2026-02-19 08:00:02.988951,1.61434000,2026-02-19 12:26:43.965312,1.61134000,1.61134000,1.61734000,0.1300,-30.00,sl_hit,,2026-02-19 12:26:43.973662,Hybrid_V4 + SMA20_50_Stoch_long,
295,USDCAD,long,2026-02-19 08:00:02.983845,1.36818000,2026-02-19 12:35:50.951674,1.36858000,1.36518000,1.37118000,0.1500,4.00,model_exit,,2026-02-19 12:35:51.04475,Hybrid_V4 + SMA20_50_MACD_long,
296,GBPUSD,long,2026-02-19 11:30:05.070785,1.34739000,2026-02-19 14:13:51.302693,1.34439000,1.34439000,1.35039000,0.3000,-30.00,sl_hit,,2026-02-19 14:13:51.312797,Hybrid_V4 + MACD_Stoch_long,
297,GBPUSD,long,2026-02-19 13:00:07.138961,1.34633000,2026-02-19 14:25:58.307552,1.34333000,1.34333000,1.34933000,0.2000,-30.00,sl_hit,,2026-02-19 14:25:58.311173,Hybrid_V4 + Stoch_RSI_long_15_30,
298,USDCAD,long,2026-02-19 12:00:25.709543,1.36914000,2026-02-19 14:35:02.511679,1.37088000,1.36614000,1.37214000,0.2200,17.40,model_exit,,2026-02-19 14:35:02.710099,Hybrid_V4 + SMA20_50_BB_long,
299,GBPUSD,long,2026-02-19 13:01:08.659628,1.34613000,2026-02-19 15:05:15.72945,1.34649000,1.34313000,1.34913000,0.3000,3.60,model_exit,,2026-02-19 15:05:15.835733,Hybrid_V4 + Stoch_RSI_long_20_30,
300,USDCHF,short,2026-02-19 14:30:00.348599,0.77557000,2026-02-19 15:05:15.983356,0.77483000,0.77857000,0.77257000,0.3100,7.40,model_exit,,2026-02-19 15:05:16.095477,Hybrid_V4 + RSI_BB_confluence_short,
301,USDCAD,short,2026-02-19 15:30:26.282357,1.36980000,2026-02-19 16:05:45.020335,1.36834000,1.37280000,1.36680000,0.1900,14.60,model_exit,,2026-02-19 16:05:45.128846,Hybrid_V4 + MACD_Stoch_short,
302,GBPUSD,long,2026-02-19 15:30:26.252169,1.34591000,2026-02-19 16:35:00.86376,1.34553000,1.34291000,1.34891000,0.4200,-3.80,model_exit,,2026-02-19 16:35:00.982398,Hybrid_V4 + Stoch_RSI_long_20_25,
303,GBPUSD,long,2026-02-19 15:31:27.115898,1.34616000,2026-02-19 16:35:00.86376,1.34553000,1.34316000,1.34916000,0.3000,-6.30,model_exit,,2026-02-19 16:35:01.082689,Hybrid_V4 + Stoch_RSI_long_15_25,
304,GBPUSD,long,2026-02-19 15:32:27.810109,1.34619000,2026-02-19 16:35:00.86376,1.34553000,1.34319000,1.34919000,0.2800,-6.60,model_exit,,2026-02-19 16:35:01.163935,Hybrid_V4 + Stoch_RSI_long_25_25,
305,EURCAD,short,2026-02-19 14:00:45.299984,1.60987000,2026-02-19 17:05:14.368536,1.61066000,1.61287000,1.60687000,0.1300,-7.90,model_exit,,2026-02-19 17:05:14.487245,Hybrid_V4 + SMA20_50_BB_short,
