rate_time,open,high,low,close,volume,readable_date
1765342800,1.16266000,1.16291000,1.16251000,1.16275000,1884.00000000,2025-12-10 05:00:00
1765346400,1.16272000,1.16311000,1.16265000,1.16299000,2205.00000000,2025-12-10 06:00:00
1765350000,1.16299000,1.16357000,1.16287000,1.16355000,3074.00000000,2025-12-10 07:00:00
1765353600,1.16355000,1.16495000,1.16344000,1.16483000,5600.00000000,2025-12-10 08:00:00
1761868800,1.15679000,1.15734000,1.15659000,1.15718000,1565.00000000,2025-10-31 00:00:00
1761872400,1.15717000,1.15772000,1.15701000,1.15738000,4026.00000000,2025-10-31 01:00:00
1761876000,1.15737000,1.15776000,1.15665000,1.15678000,3947.00000000,2025-10-31 02:00:00
1761879600,1.15677000,1.15746000,1.15650000,1.15681000,3385.00000000,2025-10-31 03:00:00
1761883200,1.15680000,1.15711000,1.15661000,1.15672000,2549.00000000,2025-10-31 04:00:00
1761886800,1.15672000,1.15734000,1.15664000,1.15721000,2392.00000000,2025-10-31 05:00:00
1761890400,1.15722000,1.15722000,1.15663000,1.15681000,2796.00000000,2025-10-31 06:00:00
1761894000,1.15681000,1.15734000,1.15608000,1.15614000,3857.00000000,2025-10-31 07:00:00
1761897600,1.15613000,1.15660000,1.15550000,1.15649000,6604.00000000,2025-10-31 08:00:00
1761901200,1.15649000,1.15715000,1.15599000,1.15708000,5836.00000000,2025-10-31 09:00:00
1761904800,1.15708000,1.15769000,1.15655000,1.15760000,5547.00000000,2025-10-31 10:00:00
1761908400,1.15761000,1.15762000,1.15674000,1.15710000,4889.00000000,2025-10-31 11:00:00
1761912000,1.15710000,1.15744000,1.15580000,1.15668000,4965.00000000,2025-10-31 12:00:00
1761915600,1.15668000,1.15668000,1.15534000,1.15560000,7498.00000000,2025-10-31 13:00:00
1761919200,1.15561000,1.15565000,1.15302000,1.15390000,9797.00000000,2025-10-31 14:00:00
1761922800,1.15390000,1.15428000,1.15221000,1.15341000,10203.00000000,2025-10-31 15:00:00
1761926400,1.15342000,1.15431000,1.15237000,1.15409000,10982.00000000,2025-10-31 16:00:00
1761930000,1.15409000,1.15436000,1.15281000,1.15303000,8483.00000000,2025-10-31 17:00:00
1761933600,1.15303000,1.15312000,1.15221000,1.15242000,4821.00000000,2025-10-31 18:00:00
1761937200,1.15242000,1.15271000,1.15216000,1.15249000,3826.00000000,2025-10-31 19:00:00
1761940800,1.15252000,1.15317000,1.15231000,1.15258000,3385.00000000,2025-10-31 20:00:00
1761944400,1.15257000,1.15397000,1.15255000,1.15359000,3061.00000000,2025-10-31 21:00:00
1762124400,1.15324000,1.15344000,1.15308000,1.15329000,674.00000000,2025-11-02 23:00:00
1762128000,1.15333000,1.15389000,1.15254000,1.15273000,5068.00000000,2025-11-03 00:00:00
1762131600,1.15273000,1.15311000,1.15242000,1.15259000,3958.00000000,2025-11-03 01:00:00
1762135200,1.15259000,1.15291000,1.15217000,1.15271000,3762.00000000,2025-11-03 02:00:00
1762138800,1.15274000,1.15342000,1.15265000,1.15316000,3717.00000000,2025-11-03 03:00:00
1762142400,1.15317000,1.15345000,1.15303000,1.15338000,3141.00000000,2025-11-03 04:00:00
1762146000,1.15338000,1.15372000,1.15319000,1.15341000,2340.00000000,2025-11-03 05:00:00
1762149600,1.15341000,1.15377000,1.15324000,1.15351000,2559.00000000,2025-11-03 06:00:00
1762153200,1.15350000,1.15414000,1.15343000,1.15379000,3367.00000000,2025-11-03 07:00:00
1762156800,1.15379000,1.15411000,1.15336000,1.15399000,5921.00000000,2025-11-03 08:00:00
1762160400,1.15397000,1.15402000,1.15096000,1.15135000,7142.00000000,2025-11-03 09:00:00
1762164000,1.15136000,1.15209000,1.15112000,1.15146000,5868.00000000,2025-11-03 10:00:00
1762167600,1.15145000,1.15201000,1.15080000,1.15154000,6732.00000000,2025-11-03 11:00:00
1762171200,1.15154000,1.15200000,1.15126000,1.15154000,5373.00000000,2025-11-03 12:00:00
1768428000,1.16433000,1.16465000,1.16423000,1.16456000,1827.00000000,2026-01-14 22:00:00
1768431600,1.16466000,1.16468000,1.16445000,1.16447000,463.00000000,2026-01-14 23:00:00
1768435200,1.16458000,1.16471000,1.16448000,1.16451000,1173.00000000,2026-01-15 00:00:00
1768438800,1.16451000,1.16457000,1.16358000,1.16378000,2801.00000000,2026-01-15 01:00:00
1760378400,1.15748000,1.15790000,1.15697000,1.15754000,3263.00000000,2025-10-13 18:00:00
1760382000,1.15754000,1.15771000,1.15701000,1.15733000,2526.00000000,2025-10-13 19:00:00
1760410800,1.15614000,1.15734000,1.15608000,1.15709000,3147.00000000,2025-10-14 03:00:00
1760414400,1.15709000,1.15763000,1.15705000,1.15738000,2221.00000000,2025-10-14 04:00:00
1760418000,1.15738000,1.15820000,1.15715000,1.15788000,2292.00000000,2025-10-14 05:00:00
1760421600,1.15789000,1.15927000,1.15785000,1.15921000,3711.00000000,2025-10-14 06:00:00
1760425200,1.15922000,1.15937000,1.15826000,1.15844000,3886.00000000,2025-10-14 07:00:00
1760428800,1.15845000,1.15897000,1.15631000,1.15700000,5682.00000000,2025-10-14 08:00:00
1760432400,1.15697000,1.15748000,1.15426000,1.15495000,5997.00000000,2025-10-14 09:00:00
1760436000,1.15486000,1.15609000,1.15456000,1.15593000,4770.00000000,2025-10-14 10:00:00
1760590800,1.16662000,1.16673000,1.16616000,1.16621000,4075.00000000,2025-10-16 05:00:00
1760594400,1.16622000,1.16624000,1.16558000,1.16561000,2511.00000000,2025-10-16 06:00:00
1760598000,1.16562000,1.16616000,1.16539000,1.16602000,4433.00000000,2025-10-16 07:00:00
1760119200,1.16127000,1.16258000,1.16041000,1.16060000,5776.00000000,2025-10-10 18:00:00
1760346000,1.16142000,1.16155000,1.15976000,1.16000000,5262.00000000,2025-10-13 09:00:00
1760349600,1.15999000,1.16049000,1.15817000,1.15856000,4812.00000000,2025-10-13 10:00:00
1760353200,1.15855000,1.15982000,1.15845000,1.15943000,3291.00000000,2025-10-13 11:00:00
1760356800,1.15942000,1.15959000,1.15815000,1.15837000,3434.00000000,2025-10-13 12:00:00
1760360400,1.15837000,1.15943000,1.15657000,1.15684000,4702.00000000,2025-10-13 13:00:00
1760364000,1.15685000,1.15766000,1.15620000,1.15686000,4281.00000000,2025-10-13 14:00:00
1760367600,1.15687000,1.15776000,1.15647000,1.15752000,4922.00000000,2025-10-13 15:00:00
1760371200,1.15752000,1.15752000,1.15575000,1.15613000,5147.00000000,2025-10-13 16:00:00
1760374800,1.15615000,1.15756000,1.15603000,1.15741000,3596.00000000,2025-10-13 17:00:00
1762912800,1.15794000,1.15823000,1.15746000,1.15756000,3359.00000000,2025-11-12 02:00:00
1762916400,1.15755000,1.15799000,1.15752000,1.15790000,2201.00000000,2025-11-12 03:00:00
1762920000,1.15791000,1.15816000,1.15756000,1.15777000,2000.00000000,2025-11-12 04:00:00
1762923600,1.15777000,1.15786000,1.15701000,1.15722000,2668.00000000,2025-11-12 05:00:00
1762927200,1.15722000,1.15787000,1.15712000,1.15764000,3509.00000000,2025-11-12 06:00:00
1762930800,1.15764000,1.15825000,1.15753000,1.15824000,2988.00000000,2025-11-12 07:00:00
1762934400,1.15824000,1.15886000,1.15814000,1.15837000,4979.00000000,2025-11-12 08:00:00
1762938000,1.15837000,1.15879000,1.15770000,1.15773000,5469.00000000,2025-11-12 09:00:00
1762941600,1.15774000,1.15804000,1.15683000,1.15703000,6006.00000000,2025-11-12 10:00:00
1762945200,1.15702000,1.15756000,1.15651000,1.15702000,5160.00000000,2025-11-12 11:00:00
1762948800,1.15703000,1.15781000,1.15656000,1.15780000,4708.00000000,2025-11-12 12:00:00
1762952400,1.15780000,1.15803000,1.15718000,1.15769000,5683.00000000,2025-11-12 13:00:00
1762956000,1.15769000,1.15799000,1.15661000,1.15722000,6840.00000000,2025-11-12 14:00:00
1762959600,1.15721000,1.15758000,1.15631000,1.15756000,7676.00000000,2025-11-12 15:00:00
1762963200,1.15756000,1.15959000,1.15728000,1.15942000,8465.00000000,2025-11-12 16:00:00
1762966800,1.15941000,1.15979000,1.15881000,1.15912000,6310.00000000,2025-11-12 17:00:00
1763002800,1.15895000,1.15931000,1.15852000,1.15893000,2835.00000000,2025-11-13 03:00:00
1763006400,1.15894000,1.15916000,1.15868000,1.15898000,2070.00000000,2025-11-13 04:00:00
1763010000,1.15898000,1.15918000,1.15874000,1.15901000,2035.00000000,2025-11-13 05:00:00
1763013600,1.15902000,1.15910000,1.15804000,1.15819000,2193.00000000,2025-11-13 06:00:00
1763017200,1.15818000,1.15859000,1.15813000,1.15857000,3063.00000000,2025-11-13 07:00:00
1763020800,1.15857000,1.16123000,1.15832000,1.16115000,6276.00000000,2025-11-13 08:00:00
1763024400,1.16116000,1.16295000,1.16103000,1.16282000,6944.00000000,2025-11-13 09:00:00
1768395600,1.16470000,1.16600000,1.16450000,1.16598000,5630.00000000,2026-01-14 13:00:00
1768399200,1.16599000,1.16599000,1.16449000,1.16501000,6461.00000000,2026-01-14 14:00:00
1768402800,1.16500000,1.16599000,1.16488000,1.16559000,8634.00000000,2026-01-14 15:00:00
1768406400,1.16558000,1.16607000,1.16494000,1.16600000,9385.00000000,2026-01-14 16:00:00
1762174800,1.15155000,1.15222000,1.15142000,1.15173000,5376.00000000,2025-11-03 13:00:00
1762178400,1.15173000,1.15178000,1.15059000,1.15111000,6859.00000000,2025-11-03 14:00:00
1762182000,1.15111000,1.15129000,1.15053000,1.15101000,8113.00000000,2025-11-03 15:00:00
1762185600,1.15103000,1.15253000,1.15060000,1.15252000,11259.00000000,2025-11-03 16:00:00
