id,symbol,timeframe,timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi_14,stoch_k,stoch_d,atr_14,bb_upper_20,bb_middle_20,bb_lower_20,macd_line,macd_signal,macd_histogram,created_at,updated_at,ob_bullish_high,ob_bullish_low,ob_bearish_high,ob_bearish_low
741609,GBPUSD,H6,2015-03-25 06:00:00+00,1.48566000,1.48959000,1.48448000,1.48751000,20467.00000000,1.48835150,1.48857440,1.51603035,1.48870919,1.48823466,1.49315156,49.23377732,57.63602251,53.42032179,0.00822566,1.50333573,1.48835150,1.47336727,0.00047453,0.00039912,0.00007541,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741610,GBPUSD,H6,2015-03-25 12:00:00+00,1.48750000,1.49533000,1.48604000,1.48946000,31885.00000000,1.48811850,1.48814600,1.51591180,1.48852470,1.48818098,1.49293033,51.15331439,61.97068404,56.76696347,0.00800311,1.50287996,1.48811850,1.47335704,0.00034371,0.00038804,0.00000000,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741611,GBPUSD,H6,2015-03-25 18:00:00+00,1.48946000,1.48995000,1.48597000,1.48827000,15425.00000000,1.48811950,1.48767320,1.51578390,1.48866859,1.48827573,1.49279424,49.91299839,33.22764743,50.94478466,0.00809503,1.50288100,1.48811950,1.47335800,0.00039286,0.00038900,0.00000000,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741612,GBPUSD,H6,2015-03-26 00:00:00+00,1.48827000,1.48972000,1.48715000,1.48907000,15134.00000000,1.48807550,1.48729400,1.51565730,1.48860727,1.48827530,1.49261681,50.77707783,39.42558747,44.87463965,0.00780110,1.50282015,1.48807550,1.47333085,0.00033197,0.00037759,0.00000000,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741613,GBPUSD,H6,2015-03-26 06:00:00+00,1.48908000,1.49933000,1.48729000,1.49225000,27528.00000000,1.48900350,1.48698540,1.51555195,1.48867846,1.48833417,1.49247772,54.16219906,56.56441718,43.07255069,0.00742745,1.50227213,1.48900350,1.47573487,0.00034429,0.00037093,0.00000000,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741614,GBPUSD,H6,2015-03-26 12:00:00+00,1.49222000,1.49462000,1.48062000,1.48668000,32086.00000000,1.48955800,1.48653080,1.51543365,1.48922793,1.48862423,1.49246879,47.94286891,32.38909674,42.79303379,0.00775692,1.50138687,1.48955800,1.47772913,0.00060370,0.00041748,0.00018622,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741615,GBPUSD,H6,2015-03-26 18:00:00+00,1.48667000,1.48667000,1.48192000,1.48475000,16734.00000000,1.48999200,1.48609200,1.51532350,1.48883594,1.48848021,1.49224178,45.97300157,22.07375735,37.00909042,0.00820285,1.50035572,1.48999200,1.47962828,0.00035572,0.00040513,0.00000000,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741616,GBPUSD,H6,2015-03-27 00:00:00+00,1.48475000,1.48664000,1.48412000,1.48573000,14216.00000000,1.49052800,1.48565880,1.51517810,1.48820733,1.48820390,1.49194799,47.16021140,27.31159808,27.25815072,0.00795693,1.49859016,1.49052800,1.48246584,0.00000343,0.00032479,-0.00032136,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741617,GBPUSD,H6,2015-03-27 06:00:00+00,1.48573000,1.48855000,1.47959000,1.48806000,25900.00000000,1.49009600,1.48530840,1.51503870,1.48782620,1.48802065,1.49170414,49.97483117,42.90780142,30.76438561,0.00756858,1.49770201,1.49009600,1.48248999,-0.00019445,0.00022094,-0.00041539,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
741618,GBPUSD,H6,2015-03-27 12:00:00+00,1.48805000,1.49210000,1.48670000,1.48977000,31531.00000000,1.48985950,1.48521480,1.51491360,1.48786217,1.48802356,1.49156124,51.99581409,51.57041540,40.59660496,0.00766797,1.49719230,1.48985950,1.48252670,-0.00016139,0.00014447,-0.00030586,2026-02-06 12:41:13.292845+00,2026-02-08 12:11:31.807412+00,,,,
